jd_id,职位名,系统岗位,系统置信度,系统等级,等级依据,映射正确?(对/错),修正岗位,等级正确?(对/错),修正等级,备注
boss:cf9d3808427136b2031z2NW5GVFX,AI工程师 agent/rag,AI Agent开发工程师,0.9,L3,经验要求:3-5年,,,,,
boss:cc77b225cddee1a50nJ60tu-E1dS,AI应用工程师,AI Agent开发工程师,0.85,L1,经验要求:在校/应届,,,,,
boss:cc6e2f0d98022e35,憧憬吊装招聘AI工程师,计算机视觉工程师,0.75,L1,经验要求:在校/应届,,,,,
boss:d9dbb25ea086aa920nV72tq6GVpT,AI agent工程师,AI Agent开发工程师,0.95,L1,经验要求:经验不限,,,,,
boss:dabfc8920bc633f903x82tW4FVtT,算法工程师,计算机视觉工程师,0.9,L2,经验要求:1-3年,,,,,
boss:ddb609034bd406cf03x62Nq9E1FS,AI agent工程师,AI Agent开发工程师,0.9,L3,经验要求:5-10年,,,,,
boss:e1c3f8dc128840a4,ai工程师（校园招聘）,AI审计师,0.95,L1,经验要求:在校/应届,,,,,
boss:edbd70b50733b1030nJ43N24GVtU,ai应用工程师,AI Agent开发工程师,0.85,L1,经验要求:在校/应届,,,,,
boss:f7cee7df2ad0287a,【华为27届实习生招聘】AI工程师,大模型算法工程师,0.95,L1,职位名:实习,,,,,
boss:fe894bade567cf9403V83ty_GVtT,算法工程师,量化金融/AI交易工程师,0.95,L2,经验要求:1-3年,,,,,
boss:fa008e83c1eed7d10nJ52tW5E1FV,算法工程师,大模型算法工程师,0.7,L3,经验要求:3-5年,,,,,
51job:172670308,AI coding应用研发工程师,AI Agent开发工程师,0.9,UNKNOWN,无信号,,,,,
51job:169952462,研发工程师,AI Agent开发工程师,0.85,UNKNOWN,无信号,,,,,
51job:173269064,AI应用工程师(工作地点：苏州)(J10653),计算机视觉工程师,0.9,L1,经验要求:在校生/应届生,,,,,
51job:173263084,管培生-AI开发方向,AI Agent开发工程师,0.9,L1,经验要求:在校生/应届生,,,,,
boss:3811f0f834d42c500nR93dq9FlFZ,ai agent工程师,AI Agent开发工程师,0.95,L3,经验要求:3-5年,,,,,
boss:b1e3af18c36adb9f0nB-2924EFFY,RAG工程师,知识图谱工程师,0.9,L3,经验要求:5-10年,,,,,
